序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,600581.SH,八一钢铁,2002-08-23,—,—,板材,2.91,,,,,44.61,60.43,3.26,-1.39,-6.73
2,600307.SH,酒钢宏兴,2000-12-27,—,—,板材,1.86,,,1.71,,116.5,63.48,33.04,-7.77,-10.96
3,600019.SH,宝钢股份,2000-12-19,—,—,板材,7.12,21.07,16.43,0.76,3.04,1550.88,35.32,7.36,-4.29,-7.28
4,000959.SZ,首钢股份,1999-12-30,—,—,板材,5.55,91.36,35.25,0.85,0.4,430.4,368.13,66.45,-5.78,-7.35
5,000898.SZ,鞍钢股份,1999-12-30,—,—,板材,2.54,,,0.52,,237.98,59.87,57.46,-7.78,-12.35
6,600010.SH,包钢股份,2001-03-16,—,—,板材,2.39,409.02,106.78,2.08,0.08,1082.4,145.03,39.99,-3.58,-11.02
7,600126.SH,杭钢股份,1999-12-30,—,—,板材,8.36,,,1.45,,282.33,122.52,-213.44,-5.67,-11.54
8,000932.SZ,华菱钢铁,1999-12-30,—,—,板材,6.19,21.05,15.44,0.77,1.61,427.64,41.72,31.31,-14.96,-17.02
9,000761.SZ,本钢板材,1999-12-30,—,—,板材,3.78,,,1.79,,155.29,30.6,9.21,-12.47,-12.93
10,600782.SH,新钢股份,1999-12-30,—,—,板材,3.9,378.81,12.78,0.47,0.26,124.18,162.21,247.2,-12.68,-18.33
11,000709.SZ,河钢股份,1999-12-30,—,—,板材,2.49,36.38,26.76,0.5,1.2,257.39,44.71,44.75,8.05,12.73
12,600569.SH,安阳钢铁,2001-08-27,—,—,板材,2.42,,,2.55,,69.51,102.68,103.01,-3.64,-12.09
13,600808.SH,马钢股份,1999-12-30,—,—,板材,4.02,,,1.29,,309.57,103.3,93.47,-6.41,-11.47
14,601003.SH,柳钢股份,2007-03-06,—,—,板材,5.07,,24.33,1.44,,129.93,314.5,579.54,-4.33,-8.32
15,600022.SH,山东钢铁,2004-07-06,—,—,板材,1.62,,,0.92,,173.32,109.64,101.29,-14.77,-18.6
16,601005.SH,重庆钢铁,2007-03-07,—,—,板材,1.49,,,0.8,,131.89,83.82,80.99,-7.32,-13.26
17,600282.SH,南钢股份,2000-09-26,—,—,板材,5.53,15.08,12.7,1.26,3.68,340.93,24.12,18.63,-12.19,-14.06
