序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002334.SZ,英威腾,2010-01-20,—,—,工控设备,9.65,27.7,28.19,2.61,0.61,79.39,-3.26,13.01,-1.12,-3.51
2,002957.SZ,科瑞技术,2019-08-02,—,—,工控设备,26.16,78.83,49.62,3.43,0.65,109.87,49.79,37.28,0.22,6.31
3,688320.SH,禾川科技,2023-09-25,—,—,工控设备,34.5,,,4.17,,52.1,-13.66,-30.72,13.83,5.32
4,300124.SZ,汇川技术,2010-10-12,—,—,工控设备,74.53,47.08,38.91,5.87,0.55,2017.7,26.84,40.15,24.67,26.73
5,301633.SZ,港迪技术,2024-11-14,—,—,工控设备,67.77,39.98,47.33,4.13,1.48,37.73,-25.24,-16.02,-3.3,-1.82
6,688777.SH,中控技术,2023-09-25,—,—,工控设备,90.88,64.37,86.43,7.05,0.78,719.03,-39.78,-31.46,-10.78,-9.92
7,301510.SZ,固高科技,2023-08-22,—,—,工控设备,36.44,290.15,222.1,10.35,0.11,145.76,52.67,16.63,26.29,16.23
8,603015.SH,弘讯科技,2015-03-10,—,—,工控设备,14.61,92.54,127.21,4.23,0.34,59.06,-35.18,-21.48,-5.65,1.04
9,688160.SH,步科股份,2023-09-25,—,—,工控设备,125.62,233.38,186.92,9.01,0.22,114.1,37.54,13.58,28.35,21.28
10,001266.SZ,宏英智能,2022-03-07,—,—,工控设备,33.71,204.57,87.14,3.68,0.88,34.92,197.53,479.0,0.8,-6.17
11,603275.SH,众辰科技,2023-08-30,—,—,工控设备,46.83,32.43,35.93,2.38,0.36,69.67,-13.01,-13.64,7.32,2.16
12,688395.SH,正弦电气,2023-09-25,—,—,工控设备,26.58,60.84,62.75,2.95,0.56,23.02,-3.75,-6.59,18.03,16.87
13,605288.SH,凯迪股份,2020-06-08,—,—,工控设备,135.0,110.02,215.22,4.3,0.28,95.41,-59.64,-43.69,3.67,5.64
14,300083.SZ,创世纪,2010-05-27,—,—,工控设备,8.67,60.83,37.63,2.66,,144.34,72.56,47.38,16.8,18.44
15,603283.SH,赛腾股份,2018-01-02,—,—,工控设备,47.31,23.15,26.72,4.06,0.86,128.29,-15.61,-20.5,-20.62,-15.81
16,300278.SZ,华昌达,2022-01-04,—,—,工控设备,5.55,101.09,656.0,4.53,,78.47,-84.64,-96.43,-12.34,-27.82
17,603025.SH,大豪科技,2015-04-29,—,—,工控设备,16.13,30.83,26.0,6.91,2.16,180.12,22.07,24.05,16.43,13.31
18,603583.SH,捷昌驱动,2018-10-08,—,—,工控设备,36.31,49.68,37.97,2.96,0.82,140.07,29.63,43.29,18.19,27.31
19,300048.SZ,合康新能,2010-01-27,—,—,工控设备,6.96,762.71,106.87,4.28,,78.53,584.4,732.83,98.61,163.06
20,301320.SZ,豪江智能,2023-06-16,—,—,工控设备,18.25,70.85,159.73,3.13,0.54,33.22,-59.1,-22.46,14.71,18.64
21,603203.SH,快克智能,2016-11-15,—,—,工控设备,36.13,43.19,36.99,6.28,1.76,91.65,21.83,11.84,18.3,11.85
22,002184.SZ,海得控制,2007-11-23,—,—,工控设备,12.9,,,3.88,,45.4,104.97,234.32,17.01,15.91
23,688698.SH,伟创电气,2023-09-25,—,—,工控设备,89.03,77.76,73.51,8.32,0.47,190.54,6.74,4.87,16.67,16.39
24,300484.SZ,蓝海华腾,2016-03-29,—,—,工控设备,19.1,142.99,73.16,5.86,0.84,39.57,126.5,159.83,50.38,62.61
25,688570.SH,天玛智控,2023-09-25,—,—,工控设备,18.93,24.14,59.36,1.91,1.74,81.97,-71.87,-65.72,-11.01,-21.21
26,002975.SZ,博杰股份,2020-02-12,—,—,工控设备,77.8,560.41,98.64,5.59,0.28,124.72,6760.54,11.55,35.61,17.48
27,301418.SZ,协昌科技,2023-08-28,—,—,工控设备,39.1,77.4,183.56,1.77,,28.67,-56.46,-73.26,3.57,-18.51
