序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002598.SZ,山东章鼓,2011-07-14,—,—,其他通用设备,10.03,43.75,98.64,2.55,1.0,31.3,-39.12,-40.86,-3.94,3.85
2,300193.SZ,佳士科技,2011-03-30,—,—,其他通用设备,9.48,17.69,19.17,1.96,2.11,45.15,-10.95,-20.02,-3.11,-6.31
3,603269.SH,海鸥股份,2017-05-24,—,—,其他通用设备,12.49,40.21,36.31,4.05,1.72,38.56,25.1,25.31,10.68,19.99
4,300145.SZ,南方泵业,2010-12-17,—,—,其他通用设备,4.45,39.15,34.11,2.91,,85.45,12.82,2.89,1.21,3.0
5,300420.SZ,五洋自控,2015-03-03,—,—,其他通用设备,3.99,,,1.89,,44.54,416.36,366.75,-1.74,1.56
6,300126.SZ,锐奇股份,2010-10-21,—,—,其他通用设备,8.74,,,2.54,,26.57,-9.33,-185.96,9.89,7.74
7,300263.SZ,隆华科技,2021-12-13,—,—,其他通用设备,11.17,88.23,73.74,2.75,0.39,115.61,16.64,5.83,20.49,23.95
8,603279.SH,景津装备,2025-04-11,—,—,其他通用设备,18.39,12.5,17.13,2.39,4.89,105.99,-34.53,-28.51,-10.7,-9.62
9,301616.SZ,浙江华业,2025-04-03,—,—,其他通用设备,52.08,44.83,20.87,2.92,0.77,41.66,143.68,6.66,11.08,10.56
10,688433.SH,华曙高科,2023-09-25,—,—,其他通用设备,84.23,519.07,918.85,17.64,0.06,348.85,-66.76,-86.3,15.43,5.43
11,300154.SZ,瑞凌股份,2011-01-07,—,—,其他通用设备,8.99,26.89,38.84,2.26,2.22,40.42,-32.33,-12.63,-16.52,-13.44
12,605060.SH,联德股份,2021-12-13,—,—,其他通用设备,45.32,58.16,49.79,4.51,0.77,109.04,21.56,11.66,9.27,1.53
13,301032.SZ,新柴股份,2021-12-13,—,—,其他通用设备,13.41,40.88,35.31,2.68,0.75,32.34,26.69,7.26,3.88,3.51
14,002444.SZ,巨星科技,2011-10-10,—,—,其他通用设备,36.42,18.88,17.24,2.34,0.69,435.03,11.35,6.63,0.65,4.87
15,603757.SH,大元泵业,2017-07-18,—,—,其他通用设备,39.66,28.98,36.68,3.68,1.71,73.98,-27.69,-27.99,11.49,14.55
16,300091.SZ,*ST金灵,2010-07-05,—,—,其他通用设备,3.08,,,11.06,,45.87,-91.08,-167.72,-47.95,-48.7
17,300257.SZ,开山股份,2011-08-26,—,—,其他通用设备,17.83,55.29,43.83,2.68,0.56,177.17,38.05,7.25,10.65,10.75
18,301311.SZ,昆船智能,2022-12-07,—,—,其他通用设备,18.35,687.96,,2.46,0.29,44.04,-565.41,10.79,7.14,24.38
