序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603099.SH,长白山,2014-08-29,—,—,自然景区,43.95,82.98,82.1,7.88,0.18,119.7,1.05,-109.75,6.99,-7.44
2,600576.SH,祥源文旅,2023-07-06,—,—,自然景区,6.79,48.86,37.18,2.41,,71.6,41.8,54.15,35.29,35.41
3,000558.SZ,天府文旅,2025-03-10,—,—,自然景区,5.53,,,6.8,,71.29,-108.64,-1.65,69.32,86.75
4,603136.SH,天目湖,2022-08-01,—,—,自然景区,12.42,32.06,32.73,2.47,1.89,33.55,-2.54,4.12,-4.65,-6.49
5,002033.SZ,丽江股份,2021-12-13,—,—,自然景区,10.01,26.08,26.13,2.17,3.5,55.0,-0.18,-15.86,3.79,-1.85
6,603199.SH,九华旅游,2015-04-02,—,—,自然景区,44.33,26.38,23.02,3.03,1.53,49.06,17.65,23.96,17.4,22.26
7,000430.SZ,*ST张股,2025-12-30,—,—,自然景区,7.32,,,22.13,,59.27,65.4,45.6,8.51,11.4
8,600054.SH,黄山旅游,2005-07-01,—,—,自然景区,14.39,33.32,37.01,2.22,1.68,104.96,-11.02,-3.87,8.75,12.7
9,002159.SZ,三特索道,2021-12-13,—,—,自然景区,16.76,20.93,23.82,2.03,1.49,29.72,-11.07,-11.49,-9.07,-6.16
10,000978.SZ,桂林旅游,2000-05-18,—,—,自然景区,7.41,,,3.13,,34.69,425.76,141.94,-0.98,0.33
11,300859.SZ,西域旅游,2020-08-13,—,—,自然景区,39.05,69.96,86.74,7.48,0.77,60.53,-14.51,-61.78,6.2,9.59
12,600749.SH,西藏旅游,2019-07-08,—,—,自然景区,17.08,232.31,132.75,3.6,,38.77,62.44,181.22,-5.43,-1.49
13,000888.SZ,峨眉山Ａ,1997-10-21,—,—,自然景区,14.23,31.96,33.33,2.8,2.32,74.98,-3.98,-8.48,-9.06,-10.07
