序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,601012.SH,隆基绿能,2022-08-01,—,—,光伏电池组件,18.23,,,2.43,,1381.48,47.52,50.88,-13.1,-14.83
2,688472.SH,阿特斯,2023-09-25,—,—,光伏电池组件,15.37,24.92,43.7,2.44,0.6,559.95,-49.41,-41.01,-8.51,-4.13
3,002056.SZ,横店东磁,2023-07-06,—,—,光伏电池组件,19.53,17.39,13.5,3.1,4.19,317.7,56.8,58.94,29.31,24.75
4,300716.SZ,ST泉为,2025-08-13,—,—,光伏电池组件,12.66,,,,,20.26,15.31,21.73,-77.24,-68.28
5,002459.SZ,晶澳科技,2010-08-17,—,—,光伏电池组件,12.07,,,1.76,,399.48,-633.54,-195.13,-32.27,-36.01
6,301278.SZ,快可电子,2024-07-31,—,—,光伏电池组件,38.52,34.9,115.26,2.43,1.33,34.56,-77.57,-81.15,7.39,-13.81
7,301636.SZ,泽润新能,2025-05-23,—,—,光伏电池组件,92.6,45.04,69.8,5.48,0.54,59.14,-46.8,-24.59,-1.8,6.89
8,301168.SZ,通灵股份,2024-07-31,—,—,光伏电池组件,44.37,74.58,117.6,2.46,0.14,53.24,-36.87,-50.63,-9.91,-0.21
9,300051.SZ,琏升科技,2024-04-09,—,—,光伏电池组件,10.43,,,24.03,,38.8,-36.09,-18.24,-0.81,35.9
10,600537.SH,亿晶光电,2003-02-10,—,—,光伏电池组件,3.44,,,18.11,,40.72,62.64,67.54,-42.58,-46.05
11,600732.SH,爱旭股份,2017-06-07,—,—,光伏电池组件,13.67,,,4.47,,289.43,81.2,86.38,46.86,63.63
12,002865.SZ,钧达股份,2022-08-01,—,—,光伏电池组件,102.86,,,6.39,,320.17,-0.48,-58.51,-30.72,-42.53
13,300093.SZ,*ST金刚,2025-11-21,—,—,光伏电池组件,18.1,,,,,97.74,-14.29,-26.41,154.69,169.02
14,688599.SH,天合光能,2023-09-25,—,—,光伏电池组件,20.46,,,2.0,,479.29,-396.22,-654.47,-20.87,-27.72
15,300080.SZ,易成新能,2023-07-06,—,—,光伏电池组件,5.19,,,2.01,,97.23,55.21,61.65,12.79,9.71
16,688429.SH,时创能源,2023-09-25,—,—,光伏电池组件,16.8,,,4.66,,67.2,50.44,-34.43,54.3,68.27
17,300393.SZ,中来股份,2014-09-19,—,—,光伏电池组件,9.96,,,3.67,,108.53,-31.06,44.83,-14.21,7.25
18,600151.SH,航天机电,1999-12-30,—,—,光伏电池组件,15.9,,,4.91,,228.05,-514.9,-555.3,-36.1,-41.01
19,688223.SH,晶科能源,2023-09-25,—,—,光伏电池组件,7.89,797.97,,2.89,,789.41,-422.67,-342.38,-33.14,-32.63
20,002506.SZ,协鑫集成,2010-11-25,—,—,光伏电池组件,4.16,356.36,,13.68,,243.37,-777.78,-854.29,-2.48,-5.16
21,300118.SZ,东方日升,2010-09-09,—,—,光伏电池组件,23.24,,,2.52,,264.94,40.16,29.49,-29.76,-28.84
